nombre,apellido,edad,salario
sergio,Pérez,23,4388.67
Lucía,Moreno,30,4366.83
Natalia,Guerrero,56,1573.84
Julia,González,23,1602.89
Fernando,Ortega,60,1314.1
Diego,Santos,63,4215.7
Roberto,Moreno,50,3733.84
Juan,Cano,32,4202.0
Isabel,Romero,31,2125.85
Enrique,Torres,28,1598.81
Jorge,Domínguez,44,3796.02
Carlos,Lozano,51,3505.78
Ricardo,Martínez,57,2460.67
sergio,Núñez,45,3682.61
Cristina,López,24,4043.43
Adriana,Alonso,27,4877.87
Jorge,Ramos,39,3149.66
Beatriz,Jiménez,45,2727.66
Alberto,Romero,65,3986.55
Francisco,Iglesias,32,3496.8
Lucía,Jiménez,51,2831.66
sergio,Castillo,57,2144.35
Javier,Prieto,25,2184.91
Carlos,Navarro,47,2351.29
Paula,Rubio,42,2114.29
Patricia,Gil,63,3173.06
Andrés,Gómez,37,4403.45
hector,Álvarez,59,3042.27
Irene,Gil,45,2143.08
Pedro,Ortega,53,1590.91
Ana,Pérez,31,3898.02
Natalia,Serrano,60,1473.17
Ricardo,Sanz,51,3475.19
Alicia,García,65,4299.1
Natalia,Castro,39,4504.97
Isabel,Pérez,40,3069.49
Rosa,García,38,5379.12
Enrique,Ruiz,54,5124.3
sergio,Gutiérrez,62,3382.95
Diego,Martin,45,4478.8
hector,Prieto,55,5149.52
Francisco,Navarro,53,1283.75
Beatriz,Gutiérrez,37,1449.08
hugo,Martínez,27,4347.2
Luis,Cano,56,4493.09
Pedro,Garrido,52,5271.45
Miguel,Álvarez,55,4951.46
Julia,Diaz,56,4447.64
daniel,Hernández,41,2915.67
Alberto,Medina,45,3083.83
