Nombre,Nota 1,Nota 2,Nota 3
Juan Pérez,8.5,7.2,9.0
María Rodríguez,9.0,8.8,9.5
Carlos Gómez,6.5,7.0,6.8
Ana Martínez,7.8,8.2,8.0
Luis García,5.5,6.0,5.8
Laura López,9.2,9.4,9.6
Diego Fernández,8.0,7.5,8.2
Sofía Sánchez,7.3,7.8,7.5
Miguel Ángel Torres,6.0,6.5,6.2
Elena Ramírez,8.7,8.9,9.1
Alejandro Ruiz,7.1,7.3,7.0
Isabel Flores,9.5,9.7,9.8
Javier Benítez,6.8,6.2,6.5
Clara Morales,8.2,8.5,8.4
Ricardo Herrera,5.9,6.1,6.0
Valentina Castro,9.0,9.1,8.9
Gabriel Ortiz,7.4,7.6,7.5
Camila Silva,8.8,8.6,8.7
Lucas Romero,6.3,6.7,6.4
Lucía Navarro,8.1,8.3,8.2
Mateo Gutiérrez,7.9,7.8,8.0
Daniela Medina,9.3,9.5,9.2
Nicolás Delgado,6.6,6.4,6.8
Martina Vega,8.4,8.7,8.6
Tomás Castillo,5.7,5.5,5.9
Sara Peña,7.6,7.4,7.7
Matías Mendoza,8.9,9.0,9.1
Catalina Aguilar,6.2,6.5,6.3
Santiago Mendoza,7.2,7.0,7.3
Antonella Cabrera,9.6,9.8,9.7
Benjamín Soto,6.9,6.8,7.1
Florencia Rojas,8.3,8.1,8.4
Samuel Vidal,5.8,6.0,5.7
Francisca Fuentes,7.5,7.7,7.6
Joaquín Durán,8.6,8.4,8.8
Agustina Ramos,9.1,9.3,9.0
Emanuel Arias,6.4,6.2,6.6
Alondra Campos,7.7,7.9,7.8
Ignacio Ibáñez,8.2,8.0,8.3
Fernanda Quiroz,9.4,9.2,9.5
Rodrigo Saavedra,6.1,6.3,6.2
Amparo Solís,7.0,7.2,7.1
Bastián Vergara,8.7,8.5,8.6
Isidora Miranda,5.6,5.8,5.5
Gonzalo Olivares,7.8,7.6,7.9
Javiera Paredes,9.2,9.0,9.3
Simón Lagos,6.7,6.9,6.8
Emilia Carrasco,8.5,8.3,8.4
Felipe San Martín,7.3,7.5,7.4
Constanza Núñez,8.8,8.9,8.7
